Дата,Багратионовский городской округ,Балтийский городской округ,Гвардейский городской округ,"Городской округ ""Город Калининград""",Гурьевский городской округ,Гусевский городской округ,Зеленоградский городской округ,Краснознаменский городской округ,Ладушкинский городской округ,Мамоновский городской округ,Неманский городской округ,Нестеровский городской округ,Озёрский городской округ,Пионерский городской округ,Полесский городской округ,Правдинский городской округ,Светловский городской округ,Светлогорский городской округ,Славский городской округ,Советский городской округ,Черняховский городской округ,Янтарный городской округ
2020-11-30,5,7,3,103,6,7,9,0,0,3,3,8,0,7,1,4,2,5,3,1,8,0
2020-12-01,5,1,7,121,9,11,6,0,1,0,0,6,3,2,1,3,4,3,2,1,1,1
2020-12-02,12,0,2,112,12,0,5,0,0,2,2,0,3,9,2,2,3,2,0,14,10,0
2020-12-03,4,8,2,131,8,3,1,1,2,2,2,4,0,0,2,3,0,2,5,3,8,0
2020-12-04,7,2,11,121,11,0,6,0,0,3,7,0,1,5,1,0,6,1,2,2,7,0
2020-12-05,11,3,5,107,14,6,4,0,1,3,5,4,1,0,1,1,5,3,0,10,10,0
2020-12-06,13,15,7,102,19,1,1,0,1,1,2,6,3,0,1,4,2,0,1,7,9,0
2020-12-07,4,6,5,102,15,3,6,2,0,0,0,10,1,3,2,5,4,3,7,3,17,0
2020-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-10,21,14,15,353,25,8,18,2,2,5,20,11,6,9,6,0,16,5,2,63,22,1
2020-12-11,13,5,2,108,9,3,6,1,2,1,1,5,0,0,4,1,6,2,2,33,13,1
2020-12-12,15,7,3,114,11,4,2,0,0,1,1,6,2,1,0,6,4,2,3,8,14,0
2020-12-13,10,18,8,92,14,7,4,0,0,2,10,2,0,2,2,3,3,2,5,20,7,2
2020-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-15,11,14,11,230,23,1,19,2,3,5,7,11,10,0,4,4,8,1,3,19,17,0
2020-12-16,0,8,0,139,12,7,4,0,0,0,5,8,0,2,1,0,4,2,1,5,0,0
2020-12-17,18,3,4,129,6,0,0,0,3,4,0,0,7,0,2,1,8,0,0,0,16,0
2020-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-19,13,16,5,223,29,6,8,5,1,1,5,11,10,4,0,2,13,2,2,24,17,1
2020-12-20,8,6,1,101,19,8,5,2,0,3,0,1,5,0,0,2,10,2,1,16,15,0
2020-12-21,9,6,0,102,20,4,1,1,1,1,11,0,3,0,3,2,4,4,1,18,9,0
2020-12-22,9,8,2,102,23,1,2,1,0,4,4,0,0,1,3,2,9,8,1,4,15,-1
2020-12-23,4,13,2,74,13,1,5,2,0,2,3,16,1,6,7,4,10,2,4,13,21,0
2020-12-24,1,0,0,193,4,0,1,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0
2020-12-25,9,4,4,105,17,5,3,3,1,3,4,7,0,3,1,1,5,4,5,7,12,1
2020-12-26,6,11,6,89,19,2,3,2,1,4,5,13,0,2,4,5,5,3,0,11,18,1
2020-12-27,16,9,9,101,15,1,14,0,0,5,1,1,3,1,6,1,4,0,0,19,4,1
2020-12-28,6,8,4,115,11,15,15,0,0,6,3,0,3,1,2,5,6,0,0,5,10,0
2020-12-29,8,10,4,96,12,4,4,3,0,3,4,6,6,3,7,2,6,5,3,16,15,0
2020-12-30,11,12,3,86,13,4,3,1,1,5,3,9,6,5,8,7,4,6,10,18,3,3
2020-12-31,5,2,4,192,4,0,1,0,1,2,0,0,0,0,2,5,0,0,0,1,6,0
2021-01-01,12,17,9,93,15,8,9,1,0,2,7,5,2,3,1,0,4,5,1,17,9,1
2021-01-02,1,12,3,118,11,10,2,4,1,1,1,5,1,3,2,1,11,3,0,13,5,0
2021-01-03,9,8,3,118,12,8,2,11,0,2,0,6,1,1,3,5,8,3,1,3,8,4
